particle,kinetic_energy_mev,angle_deg,threshold_mip,threshold_mev,events,successes,response_probability,wilson95_low,wilson95_high,include_steel
e+,3000.0,40.0,0.5,1.78926,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,40.0,0.5,1.78926,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,0.5,60.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,60.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,60.0,0.5,1.78926,3000,76,0.025333333333333333,0.02028834763664708,0.03159237275326237,True
e+,10.0,60.0,0.5,1.78926,3000,2179,0.7263333333333334,0.7100975816817388,0.7419901927952639,True
e+,30.0,60.0,0.5,1.78926,3000,2846,0.9486666666666667,0.9401804389731785,0.956005340770629,True
e+,100.0,60.0,0.5,1.78926,3000,2971,0.9903333333333333,0.9861515686577085,0.9932609736923217,True
e+,300.0,60.0,0.5,1.78926,3000,2994,0.998,0.9956431969391587,0.9990830697304166,True
e+,1000.0,60.0,0.5,1.78926,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e+,3000.0,60.0,0.5,1.78926,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,60.0,0.5,1.78926,3000,2998,0.9993333333333333,0.9975723661607839,0.9998171569121904,True
e+,0.5,70.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,70.0,0.5,1.78926,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,70.0,0.5,1.78926,3000,38,0.012666666666666666,0.00924242683594685,0.01733735772167086,True
e+,10.0,70.0,0.5,1.78926,3000,1607,0.5356666666666666,0.5177860488126815,0.5534560599782452,True
e+,30.0,70.0,0.5,1.78926,3000,2656,0.8853333333333333,0.8734357581311705,0.8962453424511783,True
e+,100.0,70.0,0.5,1.78926,3000,2953,0.9843333333333333,0.9792300783910395,0.9881978101436948,True
e+,300.0,70.0,0.5,1.78926,3000,2980,0.9933333333333333,0.9897247083783173,0.995680160879361,True
e+,1000.0,70.0,0.5,1.78926,3000,2996,0.9986666666666667,0.9965765205209367,0.9994813743503383,True
e+,3000.0,70.0,0.5,1.78926,3000,2999,0.9996666666666667,0.9981141811156959,0.9999411560581286,True
e+,10000.0,70.0,0.5,1.78926,3000,3000,1.0,0.9987211512746742,1.0000000000000002,True
e+,0.5,0.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,0.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,0.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,0.0,1.0,3.57852,3000,2432,0.8106666666666666,0.7962535405356258,0.8242852014563716,True
e+,30.0,0.0,1.0,3.57852,3000,1927,0.6423333333333333,0.6250096244564204,0.6592929966064368,True
e+,100.0,0.0,1.0,3.57852,3000,1853,0.6176666666666667,0.6001372188667455,0.6348951587332279,True
e+,300.0,0.0,1.0,3.57852,3000,1894,0.6313333333333333,0.6139119075156665,0.6484188482191477,True
e+,1000.0,0.0,1.0,3.57852,3000,1859,0.6196666666666667,0.6021521120049913,0.6368751502000807,True
e+,3000.0,0.0,1.0,3.57852,3000,1870,0.6233333333333333,0.6058468940958318,0.6405043232185877,True
e+,10000.0,0.0,1.0,3.57852,3000,1898,0.6326666666666667,0.615256569296597,0.6497374428416165,True
e+,0.5,20.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,20.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,20.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,20.0,1.0,3.57852,3000,2506,0.8353333333333334,0.8216345441309281,0.8481744413239534,True
e+,30.0,20.0,1.0,3.57852,3000,2495,0.8316666666666667,0.8178553880097853,0.8446296423357486,True
e+,100.0,20.0,1.0,3.57852,3000,2434,0.8113333333333334,0.7969382609445893,0.8249321092491079,True
e+,300.0,20.0,1.0,3.57852,3000,2499,0.833,0.8192293586667864,0.8459189280821465,True
e+,1000.0,20.0,1.0,3.57852,3000,2491,0.8303333333333334,0.8164817199358931,0.8433400540062417,True
e+,3000.0,20.0,1.0,3.57852,3000,2491,0.8303333333333334,0.8164817199358931,0.8433400540062417,True
e+,10000.0,20.0,1.0,3.57852,3000,2472,0.824,0.8099608432540542,0.8372104627719346,True
e+,0.5,40.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,1.0,40.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,3.0,40.0,1.0,3.57852,3000,0,0.0,0.0,0.0012788487253259629,True
e+,10.0,40.0,1.0,3.57852,3000,2504,0.8346666666666667,0.8209472519030001,0.8475301053501818,True
e+,30.0,40.0,1.0,3.57852,3000,2866,0.9553333333333334,0.9473409336761411,0.962161128084662,True
e+,100.0,40.0,1.0,3.57852,3000,2916,0.972,0.9654659955638838,0.9773267712394085,True
e+,300.0,40.0,1.0,3.57852,3000,2947,0.9823333333333333,0.9769652566345906,0.9864677472950449,True
