particle,kinetic_energy_mev,angle_deg,events,include_steel,geant4_version_number,nonzero_probability,mean_deposit_mev,std_deposit_mev,q0_deposit_mev,q0.1_deposit_mev,q0.25_deposit_mev,q0.5_deposit_mev,q0.75_deposit_mev,q0.9_deposit_mev,q0.99_deposit_mev,q1_deposit_mev,p_ge_0.25mip,p_ge_0.5mip,p_ge_1mip,p_ge_2mip
e-,10.0,70.0,3000,True,1141,0.6426666666666667,3.0824533645223697,2.9452875527029416,0.0,0.0,0.0,3.0330400978489553,5.79002861877237,7.1801039536507325,8.243575115330323,8.90728537809084,0.5816666666666667,0.552,0.4746666666666667,0.10433333333333333
e-,30.0,0.0,3000,True,1141,0.9946666666666667,4.1642290845235435,1.3471182419806764,0.0,3.303241331032091,3.476337877943024,3.7936844707751423,4.394428314650952,5.508620206988358,9.31433981753908,20.204121887185934,0.9923333333333333,0.9913333333333333,0.663,0.037
e-,30.0,20.0,3000,True,1141,0.993,4.4516027248824,1.5449765702464697,0.0,3.479962140292627,3.6886501669405627,4.060489556716778,4.723894023999199,5.914441916966144,10.349362229886356,23.765206115649654,0.9906666666666667,0.9866666666666667,0.834,0.050666666666666665
e-,30.0,40.0,3000,True,1141,0.9876666666666667,5.604663620909802,2.139965917010861,0.0,4.063091775835171,4.464975662999751,5.104312408448135,6.161781978558299,7.9054928788098895,13.622776826991165,23.44612840878186,0.9863333333333333,0.9823333333333333,0.9646666666666667,0.14533333333333334
e-,30.0,60.0,3000,True,1141,0.9796666666666667,9.29820533180391,5.052090811272648,0.0,5.020923444424638,6.196676768617445,7.881012728542779,11.115466006755867,16.792208866435477,25.473592300086388,28.599624832575678,0.9716666666666667,0.9666666666666667,0.9516666666666667,0.5956666666666667
e-,30.0,70.0,3000,True,1141,0.945,10.960158604540363,6.5027505662881335,0.0,2.5823638437199854,6.783919377066505,9.77519401096368,15.182954952602369,20.69253340237166,25.951285428901773,28.143746142799362,0.9196666666666666,0.9083333333333333,0.886,0.719
e-,100.0,0.0,3000,True,1141,0.9993333333333333,4.159258343604065,1.2729817560078542,0.0,3.2836907675626614,3.4623061997588103,3.7683507707272925,4.347002811320483,5.5018233391213505,9.58129253434069,16.00333956834755,0.9993333333333333,0.9986666666666667,0.6416666666666667,0.035333333333333335
e-,100.0,20.0,3000,True,1141,0.9993333333333333,4.412638738900543,1.3393338298464192,0.0,3.4891210472118943,3.674212042162656,3.9912842209590194,4.618061527066933,5.9435612227631625,9.794266344174234,15.469060800247613,0.9983333333333333,0.998,0.8286666666666667,0.04833333333333333
e-,100.0,40.0,3000,True,1141,0.9986666666666667,5.499710957867826,1.9437115012683555,0.0,4.264799205500918,4.53664535725806,4.9677187896747075,5.748798551021318,7.332917865179902,13.07727422494285,48.292627956835034,0.9986666666666667,0.9986666666666667,0.9833333333333333,0.10666666666666667
e-,100.0,60.0,3000,True,1141,0.997,8.801939731073942,3.2842736956226566,0.0,6.330118837790688,7.029743655208211,7.979516930699559,9.580032087311084,12.358458675763586,21.40648503918078,39.655161497141165,0.9966666666666667,0.996,0.9876666666666667,0.713
e-,100.0,70.0,3000,True,1141,0.9906666666666667,13.715988064603467,7.075193956176464,0.0,8.172996746374023,9.886877297987386,12.03928469590975,15.38089113347301,21.333710475110017,40.33368723624227,79.76597311338887,0.9886666666666667,0.9876666666666667,0.9843333333333333,0.9373333333333334
e-,300.0,0.0,3000,True,1141,1.0,4.17558296688512,1.3014636394106898,0.5952057976808078,3.2829561461783907,3.4512644317050745,3.7481234842707596,4.374562115713497,5.565468252667247,10.080433607993424,17.386115938309747,0.9996666666666667,0.9993333333333333,0.6373333333333333,0.03666666666666667
e-,300.0,20.0,3000,True,1141,0.9996666666666667,4.425361370675815,1.8330839980659703,0.0,3.4807467300968074,3.6731077958384963,3.98190456595848,4.619711340447788,5.837095606531088,9.73847343802835,74.76679981390484,0.9993333333333333,0.9993333333333333,0.8273333333333334,0.04833333333333333
e-,300.0,40.0,3000,True,1141,0.9996666666666667,5.501557423033465,1.7505724803105416,0.0,4.296293115774149,4.548246145121302,4.950151368854833,5.789189708802538,7.350694688353523,12.469757743754045,22.546600893879635,0.9996666666666667,0.9996666666666667,0.9896666666666667,0.11233333333333333
e-,300.0,60.0,3000,True,1141,0.999,8.846923223237024,3.349583743088833,0.0,6.658010840866799,7.116654472322331,7.865077780525734,9.362028830532816,12.181785470498673,23.03965043451767,39.44611054847018,0.999,0.9986666666666667,0.9976666666666667,0.735
e-,300.0,70.0,3000,True,1141,0.998,13.764033715995154,6.271911262498726,0.0,9.531005166192609,10.57038896976201,11.909652833770187,14.773963362308193,20.280697241573073,39.05071649497306,79.71407772245074,0.9973333333333333,0.997,0.9963333333333333,0.9723333333333334
e-,1000.0,0.0,3000,True,1141,1.0,4.176515008257294,1.3638113859348626,1.0920214629154645,3.2735852528254927,3.4522252834419738,3.7477133290930498,4.335494268461034,5.527399647262989,9.989480251987892,20.935489112905447,1.0,0.9996666666666667,0.6346666666666667,0.043
e-,1000.0,20.0,3000,True,1141,1.0,4.475668469327052,1.5344311830544561,1.807068877040278,3.491405666019183,3.6690865417904033,3.9981969460032847,4.6664025047902555,6.105009064785185,10.799303799142152,26.30634686841438,1.0,1.0,0.8283333333333334,0.058
e-,1000.0,40.0,3000,True,1141,1.0,5.6836744671476005,3.68938467936294,2.0936900656631647,4.306348913940927,4.544879155844247,4.948169911134782,5.770725292952555,7.596403981429236,15.428920443712835,135.98853401777043,1.0,1.0,0.985,0.12
e-,1000.0,60.0,3000,True,1141,0.9996666666666667,9.050825279982837,4.650836665036988,0.0,6.713367395467644,7.142413843148864,7.814429628610794,9.434223171589132,12.654914849689648,24.463082799683615,170.0168404829141,0.9996666666666667,0.9993333333333333,0.9966666666666667,0.7436666666666667
e-,1000.0,70.0,3000,True,1141,0.9996666666666667,14.365089357742763,7.057272579525924,0.0,9.872008087737036,10.652241972893894,11.919858373177513,15.105025353078396,22.696636837600945,42.42372794615844,65.79820527895049,0.9993333333333333,0.9993333333333333,0.999,0.9743333333333334
e-,3000.0,0.0,3000,True,1141,1.0,4.2106256400747855,1.3936809197338984,2.2499501505545143,3.2862437396118183,3.448296027830156,3.739587328793787,4.363395351470222,5.624468282238626,10.080419000522426,19.65253956930253,1.0,1.0,0.635,0.04733333333333333
e-,3000.0,20.0,3000,True,1141,1.0,4.511460765395453,1.573260815049552,1.6737161954052526,3.4826652275952243,3.6830618661084205,4.002311688593914,4.645116880628322,6.0807876608212466,12.000369749995256,18.75349355303377,1.0,0.9996666666666667,0.833,0.060333333333333336
e-,3000.0,40.0,3000,True,1141,1.0,5.63391861826057,2.2596071353209903,2.169602514470551,4.306731423874107,4.556194592456413,4.951608993873965,5.848596365014097,7.766840381892646,14.508898056843357,56.336819645766916,1.0,1.0,0.9816666666666667,0.12433333333333334
e-,3000.0,60.0,3000,True,1141,0.9996666666666667,9.116361588033492,4.04062592271961,0.0,6.737472267770166,7.117571291941263,7.864255373591977,9.50386565110254,13.234633626713542,26.701935687671646,58.07588764255535,0.9993333333333333,0.999,0.998,0.7363333333333333
e-,3000.0,70.0,3000,True,1141,1.0,14.845949876596961,7.7394540629420465,1.9585921321668969,9.911883126268869,10.717695880206925,12.113412472391545,15.491850332429058,24.058881084661518,46.48075829237024,76.25071081859103,1.0,1.0,0.9993333333333333,0.9743333333333334
e-,10000.0,0.0,3000,True,1141,1.0,4.272498996974347,1.5387438079573452,2.952311310504092,3.2739414422765565,3.4502332114434866,3.7448173247546954,4.428245306188255,5.8739688568758,11.142880860240696,22.21695772628079,1.0,1.0,0.636,0.05333333333333334
e-,10000.0,20.0,3000,True,1141,1.0,4.576181976297616,2.3044515010346296,1.6758875141578757,3.4912333538579556,3.6688403627237,3.9726010239271154,4.678129756376805,6.261026342600297,12.252669448071188,90.53239417902482,1.0,0.9993333333333333,0.8243333333333334,0.068
e-,10000.0,40.0,3000,True,1141,1.0,5.7116891903695155,2.207365491693668,2.163467506826963,4.325458391605376,4.550559936091215,4.995363191760308,5.911024393994234,7.898383982503424,15.187429264638464,29.316996797884926,1.0,1.0,0.9913333333333333,0.135
e-,10000.0,60.0,3000,True,1141,1.0,9.395457635418936,4.507753971426269,2.3033679050803877,6.7152176674895365,7.153376950640932,7.946749350520841,9.744412292147677,13.866519447073115,26.973763675164722,51.264370075411826,1.0,1.0,0.9983333333333333,0.7486666666666667
e-,10000.0,70.0,3000,True,1141,1.0,15.699349563997758,9.185302084115502,4.7358121243165225,9.927177985463402,10.729566163800671,12.19756974658872,16.60196039251666,27.682127357995956,51.02358773178382,124.59875918128738,1.0,1.0,1.0,0.9743333333333334
gamma,0.5,0.0,3000,True,1141,0.182,0.03354625109519707,0.08566466377443423,0.0,0.0,0.0,0.0,0.0,0.14833902163992502,0.3474627624624004,0.4232545119240328,0.0,0.0,0.0,0.0
gamma,0.5,20.0,3000,True,1141,0.2,0.035643122822936836,0.08870169952252867,0.0,0.0,0.0,0.0,0.0,0.16536911528134293,0.35838992048844603,0.4150310558634535,0.0,0.0,0.0,0.0
gamma,0.5,40.0,3000,True,1141,0.238,0.04364221412227848,0.09699298670658946,0.0,0.0,0.0,0.0,0.0,0.2186985536319467,0.3720789408255739,0.5,0.0,0.0,0.0,0.0
